epoch;dice_coeff;loss;val_dice_coeff;val_loss
0;0.5455284249789552;1.1085231563106912;0.6544778227806092;0.7727454076210658
1;0.71438438872822;0.5738499770398999;0.6947528819243113;0.5737337668736776
2;0.7574489316979393;0.47135166042163723;0.6875403602917989;0.6719847222169241
3;0.777098438290299;0.4215693278390853;0.7375456556677819;0.5592558850844701
4;0.786149506197601;0.4027399174014076;0.7618979925910632;0.5148543253540993
5;0.7948048307758863;0.3933558003579984;0.7153914514929056;0.5722411205371221
6;0.8072544824881632;0.3630743240479563;0.7090008142093818;0.6908319791158041
7;0.811026644511301;0.34738653482960874;0.7977615892887115;0.38078852196534474
8;0.8201041487885303;0.33262599613822874;0.6290205260117848;0.773989224433899
9;0.8303110750972248;0.3151316973762434;0.7708480091144642;0.47767883390188215
10;0.8394726353590606;0.2897615369836815;0.8201966722806294;0.4168050944805145
11;0.8458601368255303;0.2818881915729554;0.7379265248775482;0.5316099529465039
12;0.8509686110449619;0.28014301600270586;0.7800613929828007;0.47125429411729175
13;0.8543146980590508;0.2701681926846504;0.77048451838394;0.47909100105365116
14;0.8520545392739968;0.27542798886777925;0.7874654894073804;0.45047617455323535
15;0.8519265211996485;0.2760346828059095;0.7780145150919755;0.47509228040774665
16;0.8528699713652251;0.27398320165325385;0.7894537433981895;0.46509968787431716
17;0.8505297210372862;0.2750714704638622;0.7685479239871105;0.48528718799352644
18;0.8549059551270282;0.27256640077370115;0.7770259847243627;0.4764854406317075
19;0.8524584955856448;0.27724635662114033;0.806458380818367;0.4556243201096853
20;0.8538166514185609;0.2724402197560326;0.7811022559801738;0.4691280300418536
21;0.8529098375898893;0.27379586975105474;0.7770335414757331;0.4764670083920161
22;0.8513052487959627;0.2756559143423057;0.8055343050509691;0.4450489004453023
23;0.8527677318111795;0.27710706765045884;0.766615092009306;0.4877973372737567
24;0.8505301087117586;0.2747559568798933;0.7770335495471954;0.4764669731259346
25;0.8512841590115281;0.27094280841897744;0.7500923958917459;0.5972349266211192
26;0.8549618603753262;0.27665610837398985;0.7866030712922414;0.38052747746308646
27;0.8519869129188725;0.2747461914894034;0.7770335535208385;0.4764669626951218
28;0.8502571323855979;0.28144020587205887;0.7749747435251871;0.474160361289978
