epoch;binary_crossentropy;dice_coeff;loss;val_binary_crossentropy;val_dice_coeff;val_loss
0;0.5407320129920833;0.18896655150963557;0.5407319867759325;0.4634523669878642;0.18531141902009646;0.4634523669878642
1;0.41314285956477725;0.2060273856666573;0.4131428687156978;0.3646580661336581;0.3066175716618697;0.3646580661336581
2;0.28595516332946874;0.38749091531231195;0.28595515937231386;0.24728530198335646;0.4467374513546626;0.24728530198335646
3;0.203180284080911;0.5832222400859184;0.20318025650448818;0.17611911632120608;0.6948367675145467;0.17611911632120608
4;0.1398465005194003;0.7315694442428494;0.13984648555640858;0.15242384895682334;0.7419388631979624;0.15242384895682334
5;0.15116113949860774;0.7100542120913746;0.1511611237936495;0.1473152962823709;0.7132819692293803;0.1473152962823709
6;0.13508311900236794;0.7562201094825238;0.13508310880032812;0.1484135741988818;0.7026943931976954;0.1484135741988818
7;0.12168448665701008;0.7599567882252927;0.1216844731779514;0.12914890634516876;0.7296529362599055;0.12914890634516876
8;0.11696248603559628;0.7785097993755736;0.11696247206189325;0.12204565865298113;0.7728049635887146;0.12204565865298113
9;0.12398404204499178;0.7526025645960416;0.12398402324850628;0.16299105137586595;0.6800700465838114;0.16299105137586595
10;0.11185687570156398;0.7821318066961043;0.1118568574615534;0.12823970777293045;0.7358406722545624;0.12823970777293045
11;0.1002751971243328;0.8105843386214798;0.10027518209951053;0.11730671549836795;0.7878723800182342;0.11730671549836795
12;0.10991192460678426;0.7935234822672927;0.10991190296609372;0.10541530145953099;0.8115452726682028;0.10541530145953099
13;0.09358632532083642;0.8235430287127673;0.09358630708082583;0.09914125675956408;0.7924109160900116;0.09914125675956408
14;0.10209452579594004;0.8024430433249572;0.10209450730860728;0.11465558744966983;0.7760122338930766;0.11465558744966983
15;0.09428705924279462;0.8159462450945526;0.09428703809674845;0.09403646110246579;0.8198789378007253;0.09403646110246579
16;0.09610300387460662;0.8209460936641297;0.09610297537072565;0.10408308828870455;0.7765955865383148;0.10408308828870455
17;0.09330293168294479;0.8213999043856419;0.09330291127886516;0.09797625280916691;0.8004806856314342;0.09797625280916691
18;0.0911833068270901;0.8255794686400544;0.0911832881542657;0.10351174945632617;0.7975996732711792;0.10351174945632617
19;0.08769555087005641;0.8333794860278859;0.08769553189925036;0.09249647905429205;0.7933305541674296;0.09249647905429205
20;0.07944711586808267;0.8429621603973674;0.07944709632963065;0.09499850527693827;0.8130968431631724;0.09499850527693827
21;0.07814991171181944;0.8465403016672095;0.0781498929771645;0.08091743278006712;0.8529489795366924;0.08091743278006712
22;0.07955989924827551;0.8503466728317293;0.07955987977165405;0.08434597353140513;0.8359959999720256;0.08434597353140513
23;0.08015393253987756;0.8462374952324199;0.0801539144853586;0.09157324731349945;0.8115650256474812;0.09157324731349945
24;0.07584900008630456;0.85020013493621;0.07584898462866846;0.09445792542149624;0.8095364054044087;0.09445792542149624
25;0.07862826909761705;0.8478863221975778;0.07862825147591192;0.09913622476160526;0.8083880404631297;0.09913622476160526
26;0.07429136141083548;0.8553935806286286;0.07429134601502993;0.09570558723062277;0.8141256690025329;0.09570558723062277
27;0.07710283042484299;0.853418647500984;0.07710281150469642;0.09076291564851999;0.8276973684628804;0.09076291564851999
