epoch;dice_coeff;loss;my_bce_loss;my_dice_loss;val_dice_coeff;val_loss;val_my_bce_loss;val_my_dice_loss
0;0.26200192090881314;1.9600510740675867;0.6256936584518163;1.0509799518525849;0.34671216358741125;1.5139012455940246;0.5149397283792496;0.9732794721921285
1;0.39124744091785796;1.3220923298127423;0.4432297601244756;0.8819938729907467;0.5010680774847667;1.0798509001731873;0.48162111391623813;0.7432880759239197
2;0.6805664394901006;0.6918642559239478;0.37353824205789327;0.4640122660091804;0.6851826295256614;0.6768144990007082;0.3195177065829436;0.5813431014617284
3;0.7534168604993227;0.5087862524872498;0.2765961932907213;0.3798635593341099;0.6917512834072113;0.6852587277690569;0.3020577480395635;0.40107511828343073
4;0.7857972784161074;0.4324725725344108;0.23483712952661318;0.3381862970555966;0.7234801491101582;0.6321751793225606;0.30697148367762567;0.3572984163959821
5;0.7713457571025706;0.4694058395520285;0.25041364349764905;0.35507622027298225;0.7719101230303447;0.44392226487398145;0.20161681945125262;0.3347505738337835
6;0.8021466212648574;0.40309480253096935;0.22140965712762967;0.3177726837609319;0.7503827532132467;0.5022667477528254;0.2576646169026693;0.3958070263266563
7;0.791418251902236;0.4199688822896649;0.2205222292312448;0.3188397085518263;0.7689803381760915;0.4465108260512352;0.2348443788786729;0.3804804568489393
8;0.8207163244362194;0.36209508615905317;0.20122584873709937;0.29308382752525364;0.7836975614229839;0.46517867346604663;0.22674334545930228;0.34998117238283155
9;0.793004969590927;0.42514604453723953;0.21772066043125643;0.320912828583935;0.772094174226125;0.4617319280902545;0.2680352111657461;0.3997627407312393
10;0.8128062518800443;0.3771210478549182;0.20671422785743143;0.30190673903310944;0.7995504419008891;0.3905317157506943;0.2305514817436536;0.36982550521691643
11;0.8337357848017047;0.3353415183506566;0.18395974681832483;0.2658565431462284;0.793430890639623;0.4218791504700979;0.25110027343034746;0.3787059416373571
12;0.8209031469099749;0.3633288056956782;0.19973990231505073;0.28204382721071913;0.8295031726360321;0.3516338681181272;0.19216981728871663;0.27873682280381523
13;0.843091524735526;0.3124673640765095;0.17022810795989768;0.25935556167636176;0.8215042471885681;0.36625135987997054;0.202484343200922;0.28513385852177936
14;0.8221818154283579;0.35768033956714684;0.19514193432985252;0.285813360695275;0.795290861527125;0.40526541844010355;0.21812854011853536;0.3324771573146184
