epoch;acc;loss;val_acc;val_loss
0;0.8515603942949264;0.38865997801061536;0.8285972873369852;0.30118566552797954
1;0.8778865855248248;0.19697955385094784;0.9113426566123962;0.21438758075237274
2;0.9297029805965111;0.17027501517631968;0.9081478357315064;0.2050681044658025
3;0.9512313692296137;0.12363883834637579;0.9206787109375;0.16443215807278952
4;0.9563133599328213;0.10748858420086689;0.9257647633552551;0.17662148823340734
5;0.9570339341632655;0.10665212003666846;0.9336749235788981;0.13748864084482193
6;0.9600449868890105;0.0996899276238973;0.9300071835517884;0.15221272458632787
7;0.9596835071923303;0.09781764527080489;0.9306696971257528;0.15216914316018423
8;0.9632721904848442;0.09072246488000525;0.9343460679054261;0.1420328602194786
9;0.9664593866614045;0.08163369764558605;0.9411166191101075;0.13600944280624389
10;0.9697635173797607;0.07356232630669093;0.9496469418207805;0.12891099154949187
11;0.9703064111412548;0.07222741988838696;0.9584456006685893;0.10463135366638501
12;0.9702281355857849;0.07212241058100442;0.9476508180300395;0.14292209247748058
13;0.9722813573039946;0.0672045167474473;0.9491260965665181;0.1365602488319079
14;0.9726683253147563;0.06595213540264817;0.9479058067003886;0.14293627391258876
15;0.9731225752439655;0.06431086324766035;0.9485834280649821;0.14170361533761025
16;0.9724881912841171;0.06618918899874218;0.9533986250559489;0.12973102554678917
17;0.9730503637282575;0.06503229047797743;0.9391305208206177;0.18110869924227396
18;0.9725206152337497;0.065443717492897;0.9488476753234864;0.14072786966959636
19;0.9718104024402431;0.06703525934307301;0.9499034563700358;0.13756387208898863
20;0.9727613662110001;0.06631177969154764;0.9470411618550618;0.14302012970050176
21;0.9734412939822088;0.06480362452566624;0.9488510131835938;0.1407235659658909
22;0.9726691148320182;0.06560387056259835;0.9534778515497844;0.13127151156465214
23;0.9726714716583001;0.06586348161589904;0.9514045317967733;0.13391586740811665
24;0.9732626266166812;0.06420053401198543;0.9488510727882385;0.1407236084342003
25;0.9714881465083263;0.06836331446395545;0.9536708037058512;0.11580356111129125
26;0.9745155641290008;0.06082603634625185;0.9592175881067911;0.10139167482654253
27;0.9726444306920786;0.06614151746645326;0.9488510767618815;0.14072360768914222
28;0.9722516868935257;0.0674935270284043;0.9556545972824096;0.10982594067851702
29;0.9723368345714006;0.06890639293267102;0.9593233108520508;0.1022266353170077
30;0.9727359199133075;0.06523264852947876;0.9488510807355245;0.14072360942761103
31;0.9723338856071723;0.0664259348614294;0.9445662379264832;0.15256115645170212
32;0.973205319193543;0.06494186330037038;0.942565397421519;0.16969374492764472
33;0.9731283353977516;0.06459887215837104;0.9488510727882385;0.14072360942761103
34;0.973447389289981;0.06518580508036692;0.9488818248112997;0.14373986870050431
35;0.9733870195560768;0.06510412405993117;0.9576379855473837;0.10002411082386971
36;0.9730424607386354;0.06465960632948602;0.9488510688145956;0.14072360893090566
37;0.972272490868803;0.0660867936237425;0.9420233448346456;0.17427284643054008
38;0.9726120223764514;0.06616441096316596;0.9549689849217733;0.11029479851325354
39;0.971414888491396;0.06944930104569333;0.9488510807355245;0.1407236064473788
40;0.9734056992608993;0.0635459334513203;0.9553393165270487;0.10688463697830836
41;0.9720129624741977;0.0674031231491292;0.9541922609011332;0.11132393057147662
42;0.9740398946355601;0.06273744939292064;0.9488510807355245;0.1407236084342003
43;0.9736959357730678;0.06377500408619154;0.9475068370501201;0.14325173050165177
44;0.9721514299267628;0.06699576106716375;0.9563128113746643;0.10833164652188619
45;0.9721670209384355;0.06714094613419204;0.9488510727882385;0.14072360793749492
