,threshold,IOU_score
0,0.0,0.29436797897339245
1,0.05,0.868519736235887
2,0.1,0.894022788432201
3,0.15000000000000002,0.86810635223759
4,0.2,0.8802191818451383
5,0.25,0.8849323060104527
6,0.30000000000000004,0.8926633775323078
7,0.35000000000000003,0.9106235441742443
8,0.4,0.9147695167517502
9,0.45,0.9080660274461263
10,0.5,0.922535610638771
11,0.55,0.9129167653589618
12,0.6000000000000001,0.8870797596962449
13,0.65,0.8684244964212994
14,0.7000000000000001,0.8549833028938443
15,0.75,0.8849637596078119
16,0.8,0.9029201006714086
17,0.8500000000000001,0.8894577155970717
18,0.9,0.8792036520612543
19,0.9500000000000001,0.8477727943470421
