,threshold,tpr,fpr
0,0.0,1.0,1.0
1,0.05,0.9843307965466302,0.04257835357603343
2,0.1,0.9717721230805656,0.0262779726533619
3,0.15000000000000002,0.9715694004157852,0.035755403543614124
4,0.2,0.9606422293882582,0.03131009316054897
5,0.25,0.9628741724988285,0.02855747801182508
6,0.30000000000000004,0.9644654634571123,0.024544823922988013
7,0.35000000000000003,0.9459715978186042,0.018891162728275287
8,0.4,0.9417103183722944,0.018510329254719692
9,0.45,0.9471735964749451,0.020432650246385218
10,0.5,0.9528907903922066,0.01628634841668889
11,0.55,0.955335728536276,0.01645860138157747
12,0.6000000000000001,0.9465912209594846,0.023419145428470307
13,0.65,0.9472977958583306,0.02816474917492718
14,0.7000000000000001,0.9398583160146223,0.030144153240511513
15,0.75,0.9329225887900624,0.0227000540357849
16,0.8,0.9206062643481917,0.014115105928383142
17,0.8500000000000001,0.9164353496563875,0.012597749865610118
18,0.9,0.8812414607388501,0.0086758151218385
19,0.9500000000000001,0.8373066076306063,0.005491108401461086
20,1.0,1.4750402320044546e-05,2.4996467578581366e-06
