,threshold,IOU_score
0,0.0,0.29436797897339245
1,0.05,0.8939969306087173
2,0.1,0.9151728203307131
3,0.15000000000000002,0.8920045622660121
4,0.2,0.8956813054397057
5,0.25,0.903140833441813
6,0.30000000000000004,0.9142857830173734
7,0.35000000000000003,0.922833594010211
8,0.4,0.9272955505707116
9,0.45,0.9222748780124836
10,0.5,0.9345933745628431
11,0.55,0.9345487678966096
12,0.6000000000000001,0.9105732195465144
13,0.65,0.8957378437425842
14,0.7000000000000001,0.8833421712780724
15,0.75,0.9072917907560526
16,0.8,0.9209175247999812
17,0.8500000000000001,0.9151009982483719
18,0.9,0.9079423569742456
19,0.9500000000000001,0.8930424052604553
20,1.0,1.4750402320044546e-05
